question,1,2,3,4,answer
The assets of Marble Faun Publishing Company ___ last quarter when one of their main local distributors went out of business.,suffer,suffers,suffering,suffered,suffered
lndie film director Luke Steele will be in London for the premiere of ___ new movie.,him,his,himself,he,his
Laboratory employees are expected to wear a name tag and carry identification at ___ times.,full,complete,all,total,all
The latest training ___ contains tips on teaching a second language to international students:,method,guide,staff,role,guide
"Once you have your resume with references and ___ , please submit it to the Human Resources Department on the 3rd floor.",qualified,qualifications,qualify,qualifying,qualifications
Ursa Major Corp. has ___ negotiated a deal with a Russian competitor in surveying the Kamchatka Peninsula.,soon,shortly,recently,yet,recently
Ms. Cho relayed her concerns about the company's financial situation while she ___ a meeting with the manager.,having,will have,was having,has,was having
Whether it is ___ to register for a student discount card depends on the needs of the individual.,necessary,necessarily,necessitate,necessity,necessary
Even experienced clerks are encouraged to attend training ___ to keep them updated on new ideas in the world of banking.,materials,sessions,experiences,positions,sessions
Workers are advised not to operate certain machines by ___ .,they,them,their,themselves,themselves
. The ___ of a discount department store was delayed by the protests of several members of the community.,construct,constructive,construction,constructed,construction
Ms. Maria Perreira is ___ responsible for some of our company's most successful marketing campaigns.,large,largely,largest,larger,largely
Mr. Singh requested ___ from several catering companies before making his decision.,estimates,sponsors,deliverance,relocations,estimates
"Our apartment building's occupancy increased ___ the efforts of our knowledgeable and friendly rental agent, Ms. Gova.",despite,due to,provided that,because,due to
Those employees wishing to change departments ___ the company may send their inquiries to Mr. Alvarez.,among,since,within,whereas,within
"The New Economic Quarterly criticized the ___ of all new products produced by Yun Sung Industrial Co., Ltd.",procedure,layer,accessory,quality,quality
One of the ___ international research facilities in botany is located at the Hoskin Museum of Natural History.,led,leads,leader,leading,leading
"In order to ensure customer safety, the government has ___ a new set of guidelines for pharmaceutical companies.",instituted,proved,decided,resembled,instituted
"Welton Textiles Inc. made a net profit of $ million, ___ it to fund its expansion across the continent.",allowing,allows,allowance,allowably,allowing
Our ___ production goals will be directed by a skilled team of qualified managers.,comparative,envious,pleased,ambitious,ambitious
Prattchet Co. has ___ turned to making most of its products from recycled materials.,increasingly,increasing,increased,increase,increasingly
___ our financial goals for this year may require cutting back on some overhead costs.,Bringing,Helping,Maintaining,Promoting,Maintaining
Heidelberg Publishing Co. offers employees ___ performance bonuses to encourage success.,of,for,with,to,with
An anniversary dinner was held ___ for high-ranking officials in the corporation.,gradually,nearly,exclusively,precisely,exclusively
"___ contacting our Human Resources Department by phone, please include your contact information.",During,Until,After,When,When
"Because of the added guests from our allied financial firm, a more ___ meeting room had to be used than usual.",satisfied,spacious,considerable,capable,spacious
"Ms. Richards has been an exceptionally ___ member of the marketing team, providing Billingsgate Enterprises with great service for nine years.",energy,energize,energetic,energetically,energetic
"___ his falling out with his former employer, Mr. Lee still meets with some of his old co-workers from time to time.",Subsequently,However,Meanwhile,Despite,Despite
The chief financial officer of Waterhouse Inc. is expressing ___ concerning his predecessor's informative advice.,appreciation,appreciative,appreciating,appreciates,appreciation
"Since opening last year, Savannah Safari Park quickly ___ one of the leading recreational spots in the region.",competed,became,continued,thought,became
". Ms. Gamble, who ___ an influential literary critic in the s, is now a contributing writer to the National Gazette newspaper.",will,is,was,has been,was
Remember to list fixed expenses ___ from variable expenses.,arbitrarily,separately,definitely,mutually,separately
The loss of our foreign manufacturing plants may be a ___ outcome of the new plans being implemented.,probable,probability,probably,probabilities,probable
New government regulations concerning the chemicals in cleaning solutions mean that the solvents must be as ___ safe as possible.,environments,environmentalists,environmentally,environmental,environmentally
Ms. Stanhope always tries to ___ her colleagues on the budget.,consult,make,invite,request,consult
Rosalind Media Ltd. came up with the idea to hire artists to create ___ artworks for the purpose of marketing.,originator,original,originally,originality,original
The CEO of Lawrence United Co. is still ___ about opening company branches in Mexico.,approximate,important,uncertain,intended,uncertain
The ___ of Mr. Alex Hartham was to initiate a merger with Culford International.,intention,intended,intentional,intending,intention
"The staff lounge is ___ the meeting room, across the hall from the computer lab.",throughout,against,next,near,near
The manager ___ Mr. Karnes a promotion because of his successful handling of the company's accounting for the past two years.,implemented,induced,surprised,granted,granted
"The awards ___ will begin at approximately 6:00 this evening, at which time winners are requested to be present to receive their awards.",ceremony,advice,product,invention,ceremony
"For defective merchandise, we will gladly ___ the product or give you a full refund.",replace,cause,interfere,return,replace
"At the same time, the company also won a two-million-dollar ___ for maintenance of the trains for the next seven years.",contract,contracts,contracted,contracting,contract
We are planning to implement a ___ paper-recycling program for all branch offices effective next month.,revising,revision,revise,revised,revised
"Mr. Ken O'Hara, Chief Executive of ESB, after more than 40 years service with the company, has announced ___ decision to retire in July .",ours,these,us,his,his
"Dieting during pregnancy is never ___ , as it can limit the nutrition available to the baby.",subjected,restored,recommended,opened,recommended
